id,skill_name,date_created,date_updated
63,CRO,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
64,CORRECTIVE AND PREVENTIVE ACTION,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
65,PROJECT MANAGER,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
66,EMR,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
67,CHEMOTHERAPY,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
68,MEDICALCLINICAL,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
69,TESTING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
70,CARDIOVASCULAR,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
71,EQUIPMENT MAINTENANCE,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
72,HAZARDOUS MATERIALS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
73,IRRIGATION,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
74,BUDGETS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
75,HEDIS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
76,CASHIER,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
77,SOP,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
78,BUDGETING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
79,CARDIAC,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
80,MICROSOFT DYNAMICS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
81,OPTIMIZATION,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
82,TYPING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
83,CLOSING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
84,SECURITY,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
85,CODING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
86,ASEPTIC,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
87,CP.R.,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
88,CPR CERTIFIED,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
89,EMPLOYEE RELATIONS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
90,UTILIZATION REVIEW,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
91,THERAPEUTIC,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
92,PHARMACY,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
93,FILING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
94,REGULATORY AFFAIRS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
95,ORG DEVELOPMENT,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
96,DIALYSIS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
97,BEST PRACTICES,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
98,MARKETING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
99,WORD,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
100,ASSISTANT DIRECTOR,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
101,ASEPTIC TECHNIQUE,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
102,MS OFFICE,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
103,EDUCATING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
104,CASH,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
105,CASE MANAGEMENT,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
106,NICU,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
107,CLIENTS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
108,CLERICAL,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
109,CDL,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
110,CONTINUOUS IMPROVEMENT,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
111,LOGGING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
112,COPING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
113,TRAINING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
114,WOUND CARE,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
115,EPOCH,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
116,CLINICAL RESEARCH,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
117,CONCRETE,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
118,QA,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
119,TRANSCRIBING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
120,PETROLEUM,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
121,HEALTH AND WELLNESS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
122,IMMUNOLOGY,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
123,TITRATION,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
124,SOCIAL SERVICES,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
125,DRAINAGE,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
126,REGISTERED NURSE LICENSE,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
127,VASCULAR,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
128,DATA SOURCES,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
129,CASHIERING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
130,INFECTIOUS DISEASE,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
131,SCHOOL NURSING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
132,INTEGRATOR,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
133,OUTLOOK,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
134,PAYROLL,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
135,HIV,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
136,PROGRAM MANAGER,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
137,PROCESS IMPROVEMENT,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
138,FUNDRAISING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
139,AUDIT,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
140,MICROSOFT OFFICE,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
141,MUNICIPAL,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
142,PROBLEMSOLVING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
143,FINANCIAL STATEMENTS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
144,GENERAL OFFICE DUTIES,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
145,RETAIL SALES,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
146,WORK FLOW,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
147,DRUG DEVELOPMENT,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
148,WMA,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
149,MICROSOFT OUTLOOK,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
150,RN LICENSE,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
151,CRF,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
152,EXCELLENT MULTITASKER,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
153,CUSTOMER SERVICE,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
154,COOKING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
155,PURCHASING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
156,MEDICAL RECORDS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
157,NATURAL LANGUAGE PROCESSING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
158,ACCOUNT MAINTENANCE,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
159,CMS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
160,HIPAA,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
161,SENIOR RESIDENTIAL CARE,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
162,FINANCIAL MANAGEMENT,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
163,60 WPM,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
164,POWERPOINT,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
165,RETAIL,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
166,PHLEBOTOMY,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
167,ICD 9,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
168,VERY ORGANIZED,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
169,MITIGATION,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
170,PEDIATRICS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
171,CPM,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
172,SCHEDULING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
173,GASTROENTEROLOGY,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
174,CLINICAL ASSESSMENT,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
175,MANAGED CARE,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
176,ONCOLOGY,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
177,GREET,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
178,ACLS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
179,MICROSOFT EXCEL,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
180,SUBJECT MATTER EXPERT,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
181,HIGHLY ORGANIZED,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
182,NURSE PRACTITIONER,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
183,OFFICE MANAGER,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
184,COLLECTION,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
185,PHARMACOVIGILANCE,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
186,ADMINISTRATIVE ASSISTANT,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
187,DISPATCHING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
188,QUALITY CONTROL,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
189,TIME MANAGEMENT,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
190,CATHETER,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
191,CAPA,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
192,CLINICAL TRIALS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
193,SELFSTARTER,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
194,HCFA,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
195,LPN,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
196,MEDICAL TERMINOLOGY,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
197,FORECASTING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
198,MENTORING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
199,CNA,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
200,FAST LEARNER,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
201,OPERATIONS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
202,FAMILY NURSE PRACTITIONER,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
203,PEDIATRIC,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
204,DATA ENTRY,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
205,DYNAMICS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
206,PREMERGER,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
207,PAYMENTS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
208,CCA,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
209,STAFFING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
210,TELEPHONES,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
211,EKG,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
212,MEDICAL ASSISTANT DIPLOMA,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
213,DATA QUALITY,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
214,WINDOWS XP,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
215,RADIOLOGICAL,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
216,MAINTENANCE,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
217,MEDICAL ASSISTANT,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
218,CLINICAL ONCOLOGY,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
219,CLINICAL STUDIES,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
220,RECRUITING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
221,FORGE,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
222,HEMATOLOGY,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
223,STATISTICS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
224,CLINICAL STUDY,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
225,IV CERTIFICATION,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
226,HEALTH CARE PROVIDER CPR,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
227,REGULATORY COMPLIANCE,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
228,PHARMACOLOGY,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
229,PROCUREMENT,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
230,CSR,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
231,SORTING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
232,ASSOCIATE,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
233,SYSTEM VALIDATION,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
234,CPRAED,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
235,CATHETERS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
236,INTEGRATION,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
237,SAFETY STANDARDS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
238,STATISTICAL ANALYSIS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
239,ANSWERING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
240,NEUROSCIENCE,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
241,CRITICAL CARE NURSING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
242,ICH,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
243,ELECTRONIC HEALTH RECORDS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
244,ASSISTED LIVING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
245,PUMPS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
246,MENTOR,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
247,DOT,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
248,BUSINESS MANAGEMENT,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
249,OFFICE MEDICAL,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
250,TOXICOLOGY,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
251,SELF MOTIVATED,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
252,REGISTERED NURSE,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
253,METRICS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
254,BUDGET,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
255,SCANNING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
256,HEALTHCARE MANAGEMENT,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
257,TELEPHONE,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
258,DATA COLLECTION,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
259,BUDGET PREPARATION,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
260,AUDITS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
261,COACHING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
262,CLINICAL MANAGEMENT,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
263,HIPPA,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
264,CLINICAL MONITORING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
265,TRADING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
266,MRI,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
267,ORACLE,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
268,CLERK,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
269,CONDITIONAL RANDOM FIELD,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
270,PIPELINE,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
271,HR,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
272,ORGANIZATIONAL DEVELOPMENT,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
273,BACTERIAL,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
274,SELFDIRECTED,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
275,CPRBLS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
276,NURSING LICENSE,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
277,STRATEGIC PLANNING,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
278,RADIOLOGY,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
279,CRA,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
280,SITE MANAGEMENT,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
281,ENERGETIC,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
282,PROBLEM SOLVER,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
283,HEALTHCARE,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
284,HUMAN RESOURCES,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
285,BIOTECHNOLOGY,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
286,CLINICAL DOCUMENTS,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
287,GCP,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
288,CCRN,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
289,SIMULTANEOUSLY,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
290,PARALEGAL,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
291,MEDICAID,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
292,MAC,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
293,DATA MANAGEMENT,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
294,ICD,2017-01-12 22:18:01.708814+00,2017-01-12 22:18:01.708814+00
