id,job_name,date_created,date_updated,job_description,visible,parent_job_id,job_family_id,employer_id,is_waiting_to_be_scored,has_ever_been_scored,onet_position_id,accuracy,remap_order,remap_query,last_remap_date
49,Director of Quality,2018-01-31 08:03:54.185533+00,2018-01-31 08:06:52.07607+00,"The Director of Quality responsibilities include:

•	Strategically and operationally organizes, plans, directs and coordinates the integration of the Quality Improvement Plan throughout the Hospital.  Assures that program goals and objective are met.
•	Establishes and maintains a written organizational Quality Improvement plan that supports a systemic, coordinated, continuous improvement approach to the delivery of patient care and services by all medical and hospital staff.
•	Assures that the plan meets the standards and requirements of governing bodies, review agencies 
•	Provides an oversight and accountability to assure that Quality Improvement efforts are managed and reported according to the plan.  Assures timely notification of significant quality issues through appropriately designated committee and administrative channels.
•	Assures appropriate action plans are developed, implemented, and monitored and demonstrates improvement.  Provides reports as requested.",f,,3,,f,t,872,0,,,
36,Hospitalist,2017-09-18 07:55:18.784144+00,2018-03-02 22:46:07.177691+00,"The Hospitalist's duties include but are not limited to:

- Diagnose, treat and provide continuous care for hospital inpatients.

- Prescribe medications or treatment regimen to hospital inpatients.

- Admit patients to hospital stays.

- Order or interpret the results of tests such as laboratory tests and radiographs.

- Refer patients to medical specialists, social services or other professionals as appropriate.

- Participate in continuing education activities to maintain or enhance knowledge and skills.

- Attend inpatient consultations in areas of specialty.

- Supervises and provides teaching services for residents, medical students, and other trainees, as designated by the Department Chair

- Properly executes/prepares documentation that pertains to medical records, billing and patent coding

- Write patient discharge summaries and send them to primary care physicians.

- Conduct discharge planning and discharge patients.

- Communicate with patients' primary care physicians upon admission, when treatment plans change or at discharge to maintain continuity and quality care.

Requirements:
- MD or DO from an accredited program, completion of 3 years of training with an approved residency in internal medicine or family medicine.

- NP or PA who have graduated from a Nurse Practitioner program or  Physician Assistant program accredited by the appropriate agencies.

- Certification as a Nurse Practitioner or Physician Assistant by the appropriate boards.  A current and active NP or PA license. 

- A current and active DEA with for Schedule II-V and all independent prescriptive authority therein.  Must hold a valid ACLS certificate.

- ABIM, ABFP or Focused Practice in Hospital Medicine board certification or active participation in the Board certification process for either of these designations.

- ECFMG evaluation and USMLE Step II certification for internationally-trained medical graduates required. 

Preferred:
-Prior hospitalist, internal medicine or family medicine experience is preferred.
",t,,4,,f,t,519,1,,,
45,Registered Nurse - Case Manager,2017-12-08 17:18:59.318947+00,2018-07-10 07:19:17.79095+00,"This position is a Nurse Case Manager position in a hospital setting. 
The RN Case Manager’s duties include but are not limited to:

- Utilizes the Nursing Process by performing needs assessments, evaluating levels of care, developing and implementing appropriate plans of care for clients and families.

- To coordinate services, programs, and personnel necessary to facilitate the patient through the continuum of care.

- Facilitates and insures the achievement of goals set by the Case Management and/or Performance Improvement programs such as quality patient care, timely and appropriate resource use and minimal financial risk.

- Collaborates closely with the health Care Team to provide a coordinated experience to patients and families.

- Documents and monitors client’s medical information, as well as educates clients and caretakers.

Requirements:	 
- Graduate of an accredited school of nursing
- Active state nursing license in good standing
- Must be able to assume responsibility and perform assigned tasks safely without direct supervision

",f,,1,,f,t,902,1,13,"with current_job as 
(
select distinct on (profile_experience.profile_id) profile_id, position_title as current_title, position_description as current_description
from profile_experience 
order by profile_id asc, end_date desc NULLS FIRST, start_date desc NULLS LAST
)
select distinct profile_id
from current_job left join profile on current_job.profile_id = profile.id
where 
(
	current_title ilike '%case%manage%'
	or current_title ilike '%care%manage%'
	or current_title ilike '%coordinator%'
)
and
(	current_title like '%RN%'
	or current_title ilike '%nurse%'
	or current_title like '% rn%'
	or current_title like 'rn'
)
and current_title not ilike '%clinical manager%'
and current_title not ilike '%nurse manager%'
and current_title not ilike '% rn manager%'
and current_title not ilike 'rn manager%'
and current_title not ilike '%/rn manager%'
and current_title not ilike '%unit manager%'
and current_title not ilike '%student%'
and current_title not ilike '%assistant%'
and current_title not ilike '%liaison%'
and current_title not ilike '% nicu %'
and current_title not ilike '%/nicu%'
and current_title not ilike 'nicu %'
and current_title not ilike '%pacu%'
and current_title not ilike '%coordinator%'
and current_title not ilike '%practitioner%'
and current_title not ilike '%np%'
and current_title not ilike '%intern%'
and current_title not ilike '%dialysis%'
and current_title not ilike '%extern%'
and current_title not ilike '%assistant%'
and current_title not ilike '%nicu%'
and current_title not ilike '%tech%'
and current_title not ilike '%director%'
and current_title not ilike '%school%'
and current_title not ilike '% icu %'
and current_title not ilike 'icu %'
and current_title not ilike 'icu/%'
and current_title not ilike '%critical care%'
and current_title not ilike '%administrat%'
and current_title not ilike '%flu%'
and current_title not ilike '%rehab%'
and current_title not ilike '%midwife%'
and current_title not ilike '%psych%'
and current_title not ilike '%intern%'
and current_title not ilike '%extern%'
and current_title not ilike '%dialysis%'
and current_title not ilike '%aide%'
and current_title not ilike '%oncology%'
and current_title not ilike '%paralegal%'
and current_title not ilike '%quality%'
and current_title not ilike '%consultant%'
and current_title not ilike '%utilization%'
and current_title not ilike '%labor%'
and current_title not ilike '%transport%'
and current_title not ilike '%instructor%'
and current_title not ilike '%educator%'
and current_title not ilike '%faculty%'
and current_title not ilike '%nicu%'
and current_title not ilike '%practicum%'
and current_title not ilike '%nurse anesthetist%'
and current_title not ilike '%crna%'
and current_title not ilike '%paralegal%'
and current_title not ilike '%advice%'
and current_title not ilike '%behavior%'
and current_title not ilike '%cath%lab%'
and current_title not ilike '%ccu%'
and current_title not ilike '%corporate%'
and current_title not ilike '%correctional%'
and current_title not like '% ECT %'
and current_title not like 'ECT %'
and current_title not ilike '%Electrophysiology%'",2018-07-10 07:19:17.790568+00
56,Caregiver / Direct Care Worker / Aide,2018-04-24 14:45:27.221936+00,2018-07-10 07:19:26.284122+00,"The Caregiver's responsibilities include:

- Assist clients with personal care, including dressing, mobility, administering medication, personal hygiene, eating and transporting to doctor’s appointments
- Monitor patient medications and update health charts
- Maintain open communication between families and health care professionals regarding client’s medical and emotional condition
- Document and report any changes in client’s health status
- Ensure highest client safety and well-being
- Experience working with the elderly is a plus
- Excellent written and oral communication 
- Experience and knowledge working with patients who have chronic and acute conditions
- Ability to problem solve quickly

- High school diploma required (college degree preferred)
- Current and valid caregiver certification
- Current and valid first aid and CPR certification",t,,5,,f,t,786,0,14,"select distinct profile_id from
( select distinct on (profile_experience.profile_id) profile_id, position_title as current_title, position_description as current_description
from profile_experience 
order by profile_id asc, end_date desc NULLS FIRST, start_date desc NULLS LAST
) current_job
left join profile on current_job.profile_id = profile.id
where 
	(
	current_title like '%care%giver%'
	or current_title ilike '%direct%care%'
	)
and not current_title ilike '%registered%nurse%'
and not current_title ilike '%home%health%aide%'
and not current_title ilike '%director%'
and not current_title like '%RN%'
and not current_title like '%nurse%'
and job_id not in (53, 54)",2018-07-10 07:19:26.283719+00
23,Clinical Manager - Operating Room,2017-07-11 18:31:37.50277+00,2017-10-09 05:36:02.559258+00,"The Operating Room Clinical Manager's responsibilities include:

- Implements and provides initial and ongoing operating room clinical leadership development, training, and guidance
- Acts as a role model in mentoring and coaching clinical leaders.
- Promotes sound clinical standards for clinical managers, associates and educators
- Serves as a clinical resource to service office Directors, Division Directors and clinical leaders
- Assumes a role in assuring consistently high quality service outcomes and program delivery
- Accountable for supporting clinical leaders in the operating room
- Effective execution high quality clinical care
- Ensures regulatory and CHAP specific clinical compliance
- Maintains professional development for the clinical team
- Provides clinical oversight to Clinical Managers and Associates by observing and confirming competency with assessments and supervisory visits 
- Provides clinical oversight to Clinical Educators by observing and confirming competency of trainings and in-services through classroom observation",f,,1,,f,t,656,1,,,
21,Clinical Manager - Pediatrics,2017-07-11 17:54:37.40496+00,2017-10-13 17:04:24.681776+00,"The Pediatric Clinical Manager's responsibilities include:

- Implements and provides initial and ongoing pediatric clinical leadership development, training, and guidance
- Acts as a role model in mentoring and coaching clinical staff
- Promotes sound clinical standards for clinical staff, associates and educators
- Assumes a role in ensuring consistently high quality service outcomes and program delivery
- Effective execution high quality clinical care
- Identifies patient care priorities and assigns staff accordingly
- Ensures regulatory compliance
- Manages professional development for the clinical team
- Coordinates clinical case load assignments and productivity expectations
- Provides clinical oversight to Clinical staff and Associates by observing and confirming competency with assessments and supervisory visits through home visits and documentation
- Provides clinical oversight to Clinical Educators by observing and confirming competency of trainings and in-services through classroom observation
- Maintains fiscal responsibility through budgeting
- Effective manages materials and supplies 
- Develop beneficial professional relationships with coworkers and management
- Responsible for evaluating annual competencies/benchmarks




",f,,1,,f,t,656,1,,,
52,Registered Nurse - Office,2018-03-05 22:35:36.598658+00,2018-03-06 01:55:56.73563+00,"The office registered nurse’s duties include but are not limited to:

- Utilizing the Nursing Process in the planning and delivery of care.
- Coordinating patient care, demonstrating safe practice, developing a nurse-patient/family relationship.
- Applying clinical leadership and problem solving.
- Preparing and clarifying treatment schedules for patients.
- Administering medications to patients and monitoring patients for reactions or side effects.
- Instructing individuals, families, or other groups on topics such as health education, disease prevention, or childbirth and developing health improvement programs.
- Recording and monitoring patients' medical information and vital signs.
- Performing venipuncture and administering IV fluids.
- Independently collects pertinent laboratory data into the plan of care.
- Complies with all regulations and standards of regulatory and accrediting bodies.
- Some experience with EHR and EMR medical software is a plus.  E.g. Epic Systems, MEDITECH software, eClinicalWorks, Cerner, etc
- Current CPR / BLS certification is a plus

Requirements:
- Graduate of an accredited school of nursing
- Active state nursing license in good standing
- Must be able to assume responsibility and perform assigned tasks without direct supervision",f,,1,,f,t,902,0,,,
12,Nurse Practitioner - Pediatric,2017-05-23 19:46:37.986862+00,2018-03-19 22:28:50.341231+00,"The pediatric nurse practitioner’s duties include but are not limited to:
Provide direct client care as well as collaborates with a licensed physician according to state guidelines 
Perform history and physical examination, order diagnostic tests and prescribe appropriate medication and treatment
Treat or refer patients for primary care conditions, such as headaches, hypertension, urinary tract infections, upper respiratory infections, and dermatological conditions
Prescribe medication dosages, routes, and frequencies based on patient characteristics such as age and gender.
Assesses vital signs, administers injections, and performs minor procedures. 
Order, perform, or interpret the results of diagnostic tests, such as complete blood counts (CBC), electrocardiograms (EKG), and radiographs (xray).
Develop treatment plans based on scientific rationale, standards of care, and professional practice guidelines.
Assists in the assessment of patients' conditions. Documents results of screenings and testing in client records. 
Educates and advises patients on pertinent health issues and helps patients manage their well-being with vaccinations and patient education
Regulates and monitors patient flow. Prepares patients for examination, sets up examination rooms, and assists healthcare providers with procedures. 
Ensure patient information, visit history, refer outs, lab follow-up, phone calls, and consults are carefully and completely documented in the EMR
Identify opportunities within local communities for development of outreach activities
Experience with EHR / EMR medical software like Epic Systems, MEDITECH software, eClinicalWorks, Cerner, etc

Requirements:
Masters of Science in Nursing MSN degree, or doctorate degree
Certified Registered Nurse Practitioner (CRNP) certification in good standing
A minimum of one year of recent, verifiable experience as an advanced practice nurse",f,,7,,f,t,736,1,,,
59,Registered Nurse - Travel,2018-06-26 20:22:44.718825+00,2018-07-10 07:24:12.312344+00,"The registered nurse’s duties include but are not limited to:
- Utilizing the Nursing Process in the planning and delivery of care, 
- Coordinating patient care, demonstrating safe practice, developing a nurse-patient/family relationship
- Applying clinical leadership and problem solving
- Preparing and clarifying treatment schedules for patients
- Instructing individuals, families, or other groups on topics such as health education, disease prevention, or childbirth and - developing health improvement programs
- Administering medications to patients and monitoring patients for reactions or side effects
- Recording and monitoring patients' medical information and vital signs
- Performing venipuncture and administering IV fluids
- Independently collects pertinent laboratory data into the plan of care 
- Complies with all regulations and standards of regulatory and accrediting bodies
- Some experience with EHR and EMR medical software is a plus.  E.g. Epic Systems, MEDITECH software, eClinicalWorks, Cerner, etc
- Current CPR / BLS certification is a plus

Requirements:
Graduate of an accredited school of nursing
Active state nursing license in good standing
Must be able to assume responsibility and perform assigned tasks without direct supervision",t,,1,,f,t,902,1,21,"Select distinct past_job_matches.profile_id
from
( select profile_id, position_title as match_title, position_description as match_description,
start_date as match_start, end_date as match_end 
	from profile_experience
	left join profile on profile.id = profile_experience.profile_id
	where 
	(
		position_title ilike '%travel%nurse%'
		or position_title ilike '%travel%rn%'
		or position_title ilike '%rn%travel%'
		or position_title ilike '%nurse%travel%'
		or position_description ilike '%travel nurs%'
		or position_description ilike '%travel rn%'
		or position_description ilike '%travel agency%'
		or position_description ilike '%travel company%'
	)
		--> Make sure they are not below this position
	and position_title not ilike '%lpn%'
	and position_title not ilike '%licensed%nurse%'
	and position_title not ilike '%lvn%'
) past_job_matches

inner join 

( select distinct on (profile_experience.profile_id) profile_id, position_title as current_title, position_description as current_description
from profile_experience 
order by profile_id asc, end_date desc NULLS FIRST, start_date desc NULLS LAST
) current_job
on (past_job_matches.profile_id = current_job.profile_id)

inner join profile on profile.id = past_job_matches.profile_id

where 
current_title not ilike '%clinical manager%'
and current_title not ilike '%nurse manager%'
and current_title not ilike '%practitioner%'
and current_title not ilike '%np%'
and current_title not ilike '%anesthetist%'
and current_title not ilike '%crna%'
and current_title not ilike '%advanced practice%'
and current_title not ilike '%aprn%'
and current_title not like '%DON%'
and current_title not ilike '%licensed%nurse%'
and current_title not ilike '%lpn%'
and current_title not ilike '%lvn%'
",2018-07-10 07:24:12.311947+00
31,Line Cook - Corporate Casual,2017-08-17 20:36:28.742984+00,2017-09-08 18:38:36.192962+00,"~~~~~ This job is in a Corporate Casual restaurant setting (e.g. TGI Fridays, Texas Roadhouse, Applebee's) ~~~~~

The line cook's duty is to prepare food items in accordance with production requirements and established guest service and sustainability standards. The responsibilities include:

- Operate, maintain and properly clean kitchen tools and equipment
- Prepare food of consistent quality following recipes standards for production and portions
- Cook and execute dishes in cooperation the kitchen team
- Must remain calm and perform well under stressful or high volume situations
- Must work cleanly, quickly and efficiently
- Label and properly store prepared foods
- Personal hygiene, dependability, and punctuality are required",f,,2,,f,t,220,1,,,
53,Home Health Aide,2018-03-15 17:08:34.904269+00,2018-07-10 07:06:19.795047+00,"The Home Health Aide's duties include but are not limited to:

- Assist with the daily tasks of elderly, mentally disabled, chronically ill, or physically challenged clients. 

- Aides work in the clients' homes and may visit several clients a day or be assigned to one specific client. 

- Home Health Aide generally are responsible for light cleaning, cooking, running errands, and doing laundry, as well as assisting clients with bathing, showering, grooming, and other personal hygiene tasks. 

- Aides also engage clients in activities like reading, talking, and playing games. 

- Additionally, home health aides might consult with a client's family members to address their concerns regarding the client's health, nutrition, and overall well-being.",t,,5,,f,t,518,1,3,"select distinct past_job_matches.profile_id from
( select profile_id, position_title as match_title, position_description as match_description
	from profile_experience
	left join profile on profile.id = profile_experience.profile_id
	where 
	(
	position_title like '%HHA%'
	or position_title ilike '%home%aide%'
	)
	and not position_title ilike '%registered%nurse%'
		--> Make sure they are not above or below this position
	and position_title not ilike '%clinical manager%'
	and position_title not ilike '%nurse manager%'
	and position_title not ilike '%case manager%'
	and position_title not ilike '%care manager%'
	and cast(start_date as date) > '2006-01-01'
) past_job_matches

inner join 

( select distinct on (profile_experience.profile_id) profile_id, position_title as current_title, position_description as current_description
from profile_experience 
order by profile_id asc, end_date desc NULLS FIRST, start_date desc NULLS LAST
) current_job
on (past_job_matches.profile_id = current_job.profile_id)
where 
current_title not ilike '%clinical manager%'
and current_title not ilike '%nurse manager%'
and current_title not ilike '%care manager%'
and	
(
current_title like '%HHA%'
or current_title ilike '%home%aide%'
)
and not current_title ilike '%registered%nurse%'",2018-07-10 07:06:19.794515+00
