id,company_name,phone,gender,summary,street_address,city,state_id,zip_code,date_created,date_updated,can_send_email,custom_email_body,logo_file_name,job_family_id,spreadsheet_webhook,candidate_queue_enabled,auto_contact_enabled,short_company_name,industry_id,website_url,is_demo_account,show_candidates_for_different_job,company_description,external_contacting_enabled,contact_url,gh_account_name,gh_api_token
60,Doctors on Call,,,,,Philadelphia,3963,,2018-03-16 00:36:25.745458+00,2018-03-20 20:48:13.971881+00,t,,employer_assets/cb904aa27ae149f0a3c70da200bf9bea.gif,1,,t,t,Doctors on Call,1,,f,f,,f,,,
33,Advocate Healthcare ,815-272-3777,,,,New Lenox,3934,,2017-09-13 16:07:35.319397+00,2017-09-13 16:07:35.319428+00,t,,,1,,f,f,,1,,f,f,,f,,,
11,Schulson Collective,,,,,Philadelphia,3963,,2017-08-18 21:00:41.996784+00,2017-09-26 14:30:02.459464+00,t,"<p>We saw your resume, and we'd like to discuss your qualifications and background with you. Looking forward to hearing from you!</p>
<p>Best,</p>
<p>Nate Weber</p>
<p>Director of Human Resources<br />Schulson Collective</p>
<p><span style=""color: #333333; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif;""><img src=""https://s3.amazonaws.com/applicant-files-prod/employer_assets/602dbf09ea134e17a90a67c396b6e1fd.jpg"" style=""max-height: 150px; max-width: 150px"" /></span></p>",employer_assets/602dbf09ea134e17a90a67c396b6e1fd.jpg,2,https://hooks.zapier.com/hooks/catch/1021473/rwxxrv/,f,f,,2,,f,f,,f,,,
34,NYS Dept of Health,347-679-1770,,,,Staten Island,3956,,2017-09-14 22:55:48.375438+00,2017-09-14 22:55:48.375467+00,t,,,1,,f,f,,1,,f,f,,f,,,
35,Self-Employed,,,,,Des Plaines,3934,,2017-09-14 23:29:18.017229+00,2017-09-14 23:29:18.017257+00,t,,,1,,f,f,,1,,f,f,,f,,,
36,Home Health,,,,,Linden,3953,,2017-09-17 15:49:54.392107+00,2017-09-17 15:55:22.346505+00,t,"<p>We saw your profile on Bakround, and we think you'd be perfect for this position. Looking forward to hearing from you!</p>
<p>Best,</p>
<p>Yitzchak David<br />Home Health</p>",,1,,f,f,,1,,f,f,,f,,,
37,The Kidz Club,,,,,Louisville,3938,,2017-09-18 16:24:23.56673+00,2017-09-18 16:24:23.566757+00,t,,,1,,f,f,,1,,f,f,,f,,,
38,CMMC,207-240-0098,,,,Freeport,3941,,2017-09-18 22:09:17.018793+00,2017-09-18 22:09:17.018824+00,t,,,1,,f,f,,1,,f,f,,f,,,
39,Genex Services LLC,7023603172,,,,LAs Vegas,3951,,2017-09-19 20:17:43.696036+00,2017-09-19 20:17:43.696067+00,t,,,1,,f,f,,1,,f,f,,f,,,
41,Healthcare Partners of Nevada,7022755143,,,,Henderson,3951,,2017-09-21 12:03:59.079577+00,2017-09-21 12:03:59.079607+00,t,,,1,,f,f,,1,,f,f,,f,,,
42,Princeton Healthcare ,,,,,Princeton,3953,,2017-10-03 23:39:38.273586+00,2017-10-03 23:39:38.273637+00,t,,,1,,f,f,,1,,f,f,,f,,,
43,Tullysgoodtimes,7165253580,,,,North tonawanda,3956,,2017-10-04 07:12:29.070108+00,2017-10-04 07:12:29.070137+00,t,,,2,,f,f,,2,,f,f,,f,,,
44,Penn Medicine,215-615-2669,,,,Philadelphia,3963,,2017-10-06 19:31:10.015489+00,2017-10-06 19:31:10.01552+00,t,,,1,,f,f,,1,,f,f,,f,,,
46,Saxbys,,,,,Philadelphia,3963,,2017-10-10 14:30:16.297451+00,2017-10-10 14:30:16.29748+00,t,,,2,https://hooks.zapier.com/hooks/catch/1021473/idegq1/,f,f,,2,,f,f,,f,,,
47,Oscar Health Insurance,9175724870,,,,Staten Island,3956,,2017-10-19 02:34:45.420417+00,2017-10-19 02:34:45.420445+00,t,,,1,,f,f,,1,,f,f,,f,,,
48,TEST ,,,,,Philadelphia,3963,,2017-10-20 17:43:28.60969+00,2017-10-20 17:43:28.609715+00,t,,,1,,f,f,,1,,f,f,,f,,,
50,Dartmouth,6039274446,,,,Sutton,3952,,2017-10-27 00:06:40.296452+00,2017-10-27 00:06:40.296484+00,t,,,1,,f,f,,1,,f,f,,f,,,
49,boatyard grill  Ciao pizza/pasta,607-256-3619,,,,ithaca,3956,,2017-10-24 22:34:17.88996+00,2017-10-24 22:34:17.889992+00,t,,,2,,f,f,,2,,f,f,,f,,,
58,Kasey's PTs,,,,,Philadelphia,3963,,2017-12-21 16:08:03.911014+00,2017-12-21 16:08:03.911046+00,f,,,6,,f,f,,1,,f,f,,f,,,
55,Jefferson Health,,,,,Philadelphia,3963,,2017-12-13 23:15:55.083917+00,2018-01-17 19:11:46.216862+00,t,"<p>We saw your profile on Bakround, and we think you may be interested in this position. Looking forward to hearing from you!</p>&#13;
<p> </p>&#13;
<p>Mary Marczyk RN, MSN, CHCR</p>&#13;
<p>Nurse Recruiter<br/>Jefferson Health</p>&#13;
<p><img src=""https://s3.amazonaws.com/applicant-files-prod/employer_assets/fcd3e930b440419bae6324da969094a2.jpg""/></p>",employer_assets/fcd3e930b440419bae6324da969094a2.jpg,1,,t,t,Jefferson,1,http://www.jeffersonhealth.org/index.html,f,f,,f,,,
54,Main Line Health,,,,,Philadelphia,3963,,2017-12-07 01:14:26.638259+00,2018-02-09 22:58:01.302717+00,t,"<p>We saw your profile on Bakround, and we think you'd be perfect for this position. Looking forward to hearing from you!</p><p>Best,</p><p>A N<br/>Main Line Health</p>",employer_assets/ada63661b3d443f8a0063436dfc33781.PNG,1,,f,f,Mainline,1,https://www.mainlinehealth.org/,f,f,,f,,,
61,Boomtime,,,,,Albuquerque,3955,,2018-03-29 19:31:32.226429+00,2018-03-29 19:31:32.226458+00,t,,,1,,t,t,,1,,f,f,,f,,,
62,boomtime,,,,,Albuquerque,3955,,2018-04-03 17:04:23.901297+00,2018-04-03 17:04:23.901325+00,t,,,1,,t,t,,1,,f,f,,f,,,
56,Acme Health Services,,,,,Philadelphia,3963,,2017-12-19 15:56:02.326246+00,2018-05-02 14:37:27.765307+00,f,,employer_assets/f35ef6a432ee4bc6a929d4a6a28cb306.png,1,,f,f,Acme,1,,t,f,,f,,,
1,Bakround,,,,,,,,2017-04-04 20:59:46.282422+00,2018-05-09 18:37:23.664955+00,f,"<p>We saw your profile on Bakround, and we think you'd be perfect for this position. Looking forward to hearing from you!</p>
<p>Best,</p>
<p>Ajay Nayak<br />Bakround</p>
<p><img src=""https://s3.amazonaws.com/applicant-files-prod/employer_assets/6c29891321a54af194cf3c8091f70071.jpg"" style=""max-height: 150px; max-width: 150px"" /></p>",employer_assets/0a0ab716501f434a92d49b9ec1b20b9c.jpg,1,,t,t,Bakround,1,https://www.bakround.com,t,f,"<p data-ph-id=""ph-page-element-page3-ds2v1z-ds2v1z-9"">A career in home health care is a rewarding path, allowing you to make a real difference in people&rsquo;s lives every day. When you pursue a career with BAYADA, you join a nationally respected team that has been a leader in providing quality care and support inside the home since 1975.</p>
<p data-ph-id=""ph-page-element-page3-ds2v1z-ds2v1z-11"">As a BAYADA professional, you will take advantage of support, resources, and supervision to help you develop and grow your leadership potential. From your first day of orientation through ongoing training in best practices, new protocols, state-of-the-art technologies, safety, and communication, BAYADA will nurture your success and create opportunities for you to achieve your career goals.</p>
<p data-ph-id=""ph-page-element-page3-ds2v1z-ds2v1z-13"">We employ nearly 23,000 full-time and part-time clinical and non-clinical professionals. Choosing a career path with BAYADA will allow you to develop and use your skills in any one of our specialty practices, including, adult nursing, assistive care, pediatrics, habilitation, home health, or hospice. If you share our commitment to delivering the highest quality care and keeping clients safe at home, then join our team of compassionate professionals.</p>",f,,,
63,Vertusa,5487589875,,,,Newark,3953,,2018-05-13 18:13:01.933721+00,2018-05-13 18:13:01.933755+00,t,,,1,,t,t,,1,,f,f,,f,,,
64,Xenon Health ,8453006873,,,,Jersey City ,3953,,2018-05-22 12:46:03.031525+00,2018-05-22 12:46:03.031558+00,t,,,1,,t,t,,1,,f,f,,f,,,
65,Gifted Healthcare,,,,2748 Metairie Lawn Drive,Metairie,3939,70002,2018-05-23 00:12:15.673965+00,2018-06-11 08:41:59.724116+00,t,,employer_assets/3476a098feb74b37a602215e5eedf185.jpg,1,,t,t,Gifted,1,https://www.giftedhealthcare.com/,f,f,"<p>Check out our jobs:&nbsp;<a href=""https://www.giftedhealthcare.com/jobs/"">https://www.giftedhealthcare.com/jobs/</a></p>
<p>Learn about us:&nbsp;<a href=""https://www.linkedin.com/company/gifted-healthcare"">https://www.linkedin.com/company/gifted-healthcare</a></p>
<p>See what people think: <a href=""https://www.glassdoor.com/Overview/Working-at-Gifted-Healthcare-EI_IE1084444.11,28.htm"">Working at Gifted Healthcare - Glassdoor</a></p>",t,,,
66,Bakround,2123803078,,,,Bronx ,3956,,2018-06-21 01:03:18.711158+00,2018-06-21 01:03:18.711183+00,t,,,1,,t,t,,1,,f,f,,f,,,
67,Van Petten Group,832-584-6400,,,,Chicago`,3934,,2018-07-03 02:01:09.448533+00,2018-07-03 02:01:09.448573+00,t,,,1,,t,t,,3,,f,f,,f,,,
68,TalentCo,8155340763,,,,Atlanta,3931,,2018-07-03 18:30:59.709864+00,2018-07-03 18:30:59.709899+00,t,,,1,,t,t,,3,,f,f,,f,,,
45,BAYADA Home Health Care,,,,740 Marne Highway S,Moorestown,3953,08057,2017-10-09 07:36:20.284485+00,2018-07-05 16:06:16.773721+00,t,"<p>I'm Bayada's first Career Navigator!  My job is to help find you a career with Bayada that you can be passionate about!  I have several opportunities in your area for management, hourly shift care, visits, and per diem!</p>&#13;
<p>Our nurses choose their own hours, locations, and clients. Whether it be full-time, part-time, per diem, weekends, or last minute call-outs, we have a shift to meet your scheduling needs. Because we provide care for such a wide range of clients, we make every effort for our staff to select assignments that match their expertise and preference. </p>&#13;
<p>Please connect with me at your earliest convenience to learn more about our exciting opportunities. If you are not interested at this time, please known I am here to help for future consideration.</p>&#13;
<p>I look forward to working with you!</p>&#13;
<p><strong>-----------------------</strong></p>&#13;
<p><strong>Kara Lloyd</strong></p>&#13;
<p>Sourcing Manager (RPO) | BAYADA Home Health Care</p>&#13;
<p>4300 Haddonfield Road, East Building. Pennsauken, NJ  08109</p>&#13;
<p>O: 856-406-0164| M: 267-453-8888 |  Cisco Ext.: 0198-19 | bayada.com</p>&#13;
<p> </p>&#13;
<p>Love what you do? Spread the love by referring a friend through BAYADA's Talent Scout bonus program. Click here: <a href=""http://bhhc.co/talentbonus"">http://bhhc.co/talentbonus</a></p>&#13;
<p> </p>",employer_assets/e03a219cd61b44fa93b61e128cd81ea6.png,1,https://hooks.zapier.com/hooks/catch/1021473/idei0w/,t,t,Bayada,1,,f,t,"<p data-ph-id=""ph-page-element-page3-ds2v1z-ds2v1z-9"">A career in home health care is a rewarding path, allowing you to make a real difference in people&rsquo;s lives every day. When you pursue a career with BAYADA, you join a nationally respected team that has been a leader in providing quality care and support inside the home since 1975.</p>
<p data-ph-id=""ph-page-element-page3-ds2v1z-ds2v1z-11"">As a BAYADA professional, you will take advantage of support, resources, and supervision to help you develop and grow your leadership potential. From your first day of orientation through ongoing training in best practices, new protocols, state-of-the-art technologies, safety, and communication, BAYADA will nurture your success and create opportunities for you to achieve your career goals.</p>
<p data-ph-id=""ph-page-element-page3-ds2v1z-ds2v1z-13"">We employ nearly 23,000 full-time and part-time clinical and non-clinical professionals. Choosing a career path with BAYADA will allow you to develop and use your skills in any one of our specialty practices, including, adult nursing, assistive care, pediatrics, habilitation, home health, or hospice. If you share our commitment to delivering the highest quality care and keeping clients safe at home, then join our team of compassionate professionals.</p>",t,,,
